Bull_alba_JCM2954.annotation	Bull_alba_JCM2954
Cryp_amyl_CBS6039_GCF_001720205.1.LongestIsoform.annotation	Cryp_amyl_CBS6039
Cryp_baci_CA1280.annotation	Cryp_baci_CA1280
Cryp_deca_7685027.annotation	Cryp_deca_7685027
Cryp_dene_JEC21_GCF_000091045.1_ASM9104v1.LongestIsoform.annotation	Cryp_dene_JEC21
Cryp_depa_CBS7841.annotation	Cryp_depa_CBS7841
Cryp_deut_R265_GCA_002954075.1.annotation	Cryp_deut_R265
Cryp_flor_DSM27421.annotation	Cryp_flor_DSM27421
Cryp_gatt_MF34.annotation	Cryp_sp._MF34
Cryp_gatt_WM276.annotation	Cryp_gatt_WM276
Cryp_neof_H99_GCF_000149245.1.LongestIsoform.annotation	Cryp_neof_H99
Cryp_sp._OR849.annotation	Cryp_sp._OR849
Cryp_sp._OR918.annotation	Cryp_sp._OR918
Cryp_tetr_IND107.annotation	Cryp_tetr_IND107
Cryp_wing_CBS7118.annotation	Cryp_wing_CBS7118
Kwon_best_CBS10118.annotation	Kwon_best_CBS10118
Kwon_bots_CBS12716.annotation	Kwon_bots_CBS12716
Kwon_deje_CBS10117.annotation	Kwon_deje_CBS10117
Kwon_dend_CBS6074.annotation	Kwon_dend_CBS6074
Kwon_euro_PYCC6329.annotation	Kwon_euro_PYCC6329
Kwon_heve_CBS569.annotation	Kwon_heve_CBS569
Kwon_mang_CBS8507.annotation	Kwon_mang_CBS8507
Kwon_newh_CBS13917.annotation	Kwon_newh_CBS13917
Kwon_pini_CBS10737.annotation	Kwon_pini_CBS10737
Kwon_shan_CBS12478.annotation	Kwon_shan_CBS12478
Kwon_shiv_CBS11374.annotation	Kwon_shiv_CBS11374
Kwon_sp_B9012.annotation	Kwon_sp._B9012
Kwon_sp_CBS6097.annotation	Kwon_sp._CBS6097
Kwon_sp_CBS9459.annotation	Kwon_sp._CBS9459
Kwon_sp_DSM27419.annotation	Kwon_sp._DSM27419
Sait_podz_DSM27192_GCA_003942215.1_ASM394221v1.annotation	Sait_podz_DSM27192
Trem_mese_ATCC28783_V1_FINAL_CALLGENES_1.annotation	Trem_mese_ATCC28783
