Bull_alba_JCM2954	Cryp_neof_H99
Cryp_amyl_CBS6039	Cryp_dene_JEC21
Cryp_baci_CA1280	Cryp_baci_CA1280
Cryp_deca_7685027	Cryp_deca_7685027
Cryp_dene_JEC21	Cryp_gatt_WM276
Cryp_depa_CBS7841	Cryp_tetr_IND107
Cryp_deut_R265	Cryp_sp._MF34
Cryp_flor_DSM27421	Cryp_deut_R265
Cryp_sp._MF34	Cryp_depa_CBS7841
Cryp_gatt_WM276	Cryp_flor_DSM27421
Cryp_neof_H99	Cryp_wing_CBS7118
Cryp_sp._OR849	Cryp_amyl_CBS6039
Cryp_sp._OR918	Cryp_sp._OR849
Cryp_tetr_IND107	Cryp_sp._OR918
Cryp_wing_CBS7118	Kwon_euro_PYCC6329
Kwon_best_CBS10118	Kwon_sp._B9012
Kwon_bots_CBS12716	Kwon_bots_CBS12716
Kwon_deje_CBS10117	Kwon_mang_CBS8507
Kwon_dend_CBS6074	Kwon_best_CBS10118
Kwon_euro_PYCC6329	Kwon_deje_CBS10117
Kwon_heve_CBS569	Kwon_pini_CBS10737
Kwon_mang_CBS8507	Kwon_dend_CBS6074
Kwon_newh_CBS13917	Kwon_shiv_CBS11374
Kwon_pini_CBS10737	Kwon_heve_CBS569
Kwon_shan_CBS12478	Kwon_sp._CBS6097
Kwon_shiv_CBS11374	Kwon_sp._CBS9459
Kwon_sp._B9012	Kwon_sp._DSM27419
Kwon_sp._CBS6097	Kwon_newh_CBS13917
Kwon_sp._CBS9459	Kwon_shan_CBS12478
Kwon_sp._DSM27419	Sait_podz_DSM27192
Sait_podz_DSM27192	Trem_mese_ATCC28783
Trem_mese_ATCC28783	Bull_alba_JCM2954
