Group	Species	chr_no	contig_length_bp	cen_length_bp
Cryptococcus	Cryptococcus_neoformans_H99	chr_1	2296463	41684
Cryptococcus	Cryptococcus_neoformans_H99	chr_2	1645092	61016
Cryptococcus	Cryptococcus_neoformans_H99	chr_3	1595965	49493
Cryptococcus	Cryptococcus_neoformans_H99	chr_4	1118100	43881
Cryptococcus	Cryptococcus_neoformans_H99	chr_5	1856052	42511
Cryptococcus	Cryptococcus_neoformans_H99	chr_6	1433473	41693
Cryptococcus	Cryptococcus_neoformans_H99	chr_7	1408304	54416
Cryptococcus	Cryptococcus_neoformans_H99	chr_8	1386114	50426
Cryptococcus	Cryptococcus_neoformans_H99	chr_9	1186450	37893
Cryptococcus	Cryptococcus_neoformans_H99	chr_10	1078416	45201
Cryptococcus	Cryptococcus_neoformans_H99	chr_11	1569079	66150
Cryptococcus	Cryptococcus_neoformans_H99	chr_12	771011	31730
Cryptococcus	Cryptococcus_neoformans_H99	chr_13	756536	53077
Cryptococcus	Cryptococcus_neoformans_H99	chr_14	988842	52606
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_1	2312874	60867
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_2	1654348	50022
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_3	2116104	110372
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_4	1782846	57793
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_5	1507571	82393
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_6	1439871	75322
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_7	1386203	68535
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_8	1198654	55032
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_9	1177571	64751
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_10	1100342	82704
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_11	1021977	37678
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_12	937665	78586
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_13	786220	60581
Cryptococcus	Cryptococcus_deneoformans_JEC21	chr_14	789609	86140
