Organism	tclassif	cov	count	percentage	gen
Cryptococcus_amylolentus_CBS6039	DNA	34700	51	0.00171315758344262	20254996
Cryptococcus_amylolentus_CBS6039	LINE	1808	3	0.0000892619282669816	20254996
Cryptococcus_amylolentus_CBS6039	LTR	87346	86	0.00431231879779191	20254996
Cryptococcus_amylolentus_CBS6039	SINE	11911	53	0.000588052448887178	20254996
Cryptococcus_amylolentus_CBS6039	Unclassified	224648	472	0.0110909920693147	20254996
Cryptococcus_amylolentus_CBS6039	Non-Repeat	19894583	NA	0.982206217172297	20254996
Cryptococcus_bacillisporus_CA1280	DNA	48227	57	0.00270550221070615	17825526
Cryptococcus_bacillisporus_CA1280	LINE	48239	50	0.00270617540262206	17825526
Cryptococcus_bacillisporus_CA1280	LTR	218830	250	0.0122762155798376	17825526
Cryptococcus_bacillisporus_CA1280	SINE	9070	16	0.000508820889773463	17825526
Cryptococcus_bacillisporus_CA1280	Unclassified	122740	173	0.00688563131320781	17825526
Cryptococcus_bacillisporus_CA1280	Non-Repeat	17378420	NA	0.974917654603853	17825526
Cryptococcus_decagattii_7685027	DNA	76363	64	0.00429765046616645	17768546
Cryptococcus_decagattii_7685027	LINE	17609	32	0.000991020874752498	17768546
Cryptococcus_decagattii_7685027	LTR	573682	329	0.03228637841273	17768546
Cryptococcus_decagattii_7685027	Unclassified	64083	125	0.00360654158196174	17768546
Cryptococcus_decagattii_7685027	Non-Repeat	17036809	NA	0.958818408664389	17768546
Cryptococcus_deneoformans_JEC21	DNA	112867	127	0.00587486216193075	19211855
Cryptococcus_deneoformans_JEC21	LINE	95956	72	0.00499462441289506	19211855
Cryptococcus_deneoformans_JEC21	LTR	788356	687	0.0410348714374536	19211855
Cryptococcus_deneoformans_JEC21	Unclassified	71262	181	0.0037092722175969	19211855
Cryptococcus_deneoformans_JEC21	Non-Repeat	18143414	NA	0.944386369770124	19211855
Cryptococcus_depauperatus_CBS7841	DNA	90019	68	0.00556381160806202	16179376
Cryptococcus_depauperatus_CBS7841	LTR	347391	343	0.0214712236120849	16179376
Cryptococcus_depauperatus_CBS7841	Other (Simple Repeat, Microsatellite, RNA)	884	5	0.0000546374594421936	16179376
